"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Feb 25 10:51:38 GMT 2024","Sun Feb 25 10:51:38 GMT 2024","219","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleCreateNewProject","authorizedUserShouldBeAbleCreateNewProject",""
"broken","Sun Feb 25 10:51:33 GMT 2024","Sun Feb 25 10:51:38 GMT 2024","4697","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigurationTest","buildConfigurationTest",""
"passed","Sun Feb 25 10:49:14 GMT 2024","Sun Feb 25 10:50:52 GMT 2024","97602","Surefire suite","Surefire test","com.example.teamcity.ui.SetupTest","com.example.teamcity.ui.SetupTest","startUpTest","startUpTest",""
"broken","Sun Feb 25 10:51:39 GMT 2024","Sun Feb 25 10:51:39 GMT 2024","119","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldNotBeAbleCreateNewProjectWithoutBuildConfigName","authorizedUserShouldNotBeAbleCreateNewProjectWithoutBuildConfigName",""
"broken","Sun Feb 25 10:51:40 GMT 2024","Sun Feb 25 10:51:40 GMT 2024","81","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldNotBeAbleCreateNewProjectWithoutProjectName","authorizedUserShouldNotBeAbleCreateNewProjectWithoutProjectName",""
