"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Feb 25 08:57:24 GMT 2024","Sun Feb 25 08:57:29 GMT 2024","5639","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigurationTest","buildConfigurationTest",""
"broken","Sun Feb 25 08:57:31 GMT 2024","Sun Feb 25 08:57:31 GMT 2024","93","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldNotBeAbleCreateNewProjectWithoutProjectName","authorizedUserShouldNotBeAbleCreateNewProjectWithoutProjectName",""
"broken","Sun Feb 25 08:57:30 GMT 2024","Sun Feb 25 08:57:30 GMT 2024","228","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleCreateNewProject","authorizedUserShouldBeAbleCreateNewProject",""
"passed","Sun Feb 25 08:55:19 GMT 2024","Sun Feb 25 08:56:44 GMT 2024","85038","Surefire suite","Surefire test","com.example.teamcity.ui.SetupTest","com.example.teamcity.ui.SetupTest","startUpTest","startUpTest",""
"broken","Sun Feb 25 08:57:31 GMT 2024","Sun Feb 25 08:57:31 GMT 2024","134","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldNotBeAbleCreateNewProjectWithoutBuildConfigName","authorizedUserShouldNotBeAbleCreateNewProjectWithoutBuildConfigName",""
