"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Mar 05 13:30:53 GMT 2024","Tue Mar 05 13:30:53 GMT 2024","74","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldNotBeAbleCreateNewProjectWithoutBuildConfigName","authorizedUserShouldNotBeAbleCreateNewProjectWithoutBuildConfigName",""
"broken","Tue Mar 05 13:30:49 GMT 2024","Tue Mar 05 13:30:52 GMT 2024","3147","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigurationTest","buildConfigurationTest",""
"broken","Tue Mar 05 13:30:53 GMT 2024","Tue Mar 05 13:30:53 GMT 2024","113","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleCreateNewProject","authorizedUserShouldBeAbleCreateNewProject",""
"passed","Tue Mar 05 13:29:19 GMT 2024","Tue Mar 05 13:30:15 GMT 2024","56528","Surefire suite","Surefire test","com.example.teamcity.ui.SetupTest","com.example.teamcity.ui.SetupTest","startUpTest","startUpTest",""
"broken","Tue Mar 05 13:30:54 GMT 2024","Tue Mar 05 13:30:54 GMT 2024","126","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldNotBeAbleCreateNewProjectWithoutProjectName","authorizedUserShouldNotBeAbleCreateNewProjectWithoutProjectName",""
