"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Feb 25 10:37:20 GMT 2024","Sun Feb 25 10:37:20 GMT 2024","233","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleCreateNewProject","authorizedUserShouldBeAbleCreateNewProject",""
"broken","Sun Feb 25 10:37:21 GMT 2024","Sun Feb 25 10:37:21 GMT 2024","103","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldNotBeAbleCreateNewProjectWithoutBuildConfigName","authorizedUserShouldNotBeAbleCreateNewProjectWithoutBuildConfigName",""
"broken","Sun Feb 25 10:37:21 GMT 2024","Sun Feb 25 10:37:22 GMT 2024","143","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldNotBeAbleCreateNewProjectWithoutProjectName","authorizedUserShouldNotBeAbleCreateNewProjectWithoutProjectName",""
"broken","Sun Feb 25 10:37:14 GMT 2024","Sun Feb 25 10:37:19 GMT 2024","5219","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigurationTest","buildConfigurationTest",""
"passed","Sun Feb 25 10:34:32 GMT 2024","Sun Feb 25 10:36:27 GMT 2024","115968","Surefire suite","Surefire test","com.example.teamcity.ui.SetupTest","com.example.teamcity.ui.SetupTest","startUpTest","startUpTest",""
